uc_id,domain,disposition,a0_a1_start,gaps,value_yr_base,value_y1,option,build,run_yr,tco_3yr_alloc,net_yr,payback_months,roi_3yr
UC-01-02,Patient Access,CONDITIONAL,yes,governance 1->2,95703,23926,vendor,46200,168585,609329,-79318,,-0.69
UC-01-04,Patient Access,CONDITIONAL,yes,workflow 2->3; governance 1->2; legal 1->2; portal_automation_permitted (partial),738142,184536,build_rules,143200,211800,784661,524827,3,0.83
UC-01-06,Patient Access,CONDITIONAL,yes,governance 1->2,343820,85955,build_rules,76800,24565,156555,317740,3,3.28
UC-01-11,Patient Access,CONDITIONAL,yes,governance 1->2; legal 1->2; cds_ordering_hook (partial); provider_adoption (partial),229213,57303,api,154000,227806,910014,-12869,,-0.51
UC-01-15,Patient Access,CONDITIONAL,yes,governance 1->2; legal 1->2; collection_policy_unified (partial),300000,75000,build_rules,76800,37082,194108,261402,4,2.01
UC-02-02,Utilization Review,CONDITIONAL,,governance 1->2; legal 1->2; notes_access (partial); criteria_license (partial),314400,78600,api,258000,166641,787663,142054,23,-0.22
UC-02-04,Utilization Review,CONDITIONAL,,workflow 2->3; governance 1->2; auth_structured (partial),229213,57303,build_rules,76800,27582,165608,200116,5,1.7
UC-03-01,Charge Capture,CONDITIONAL,,data 3->4; governance 1->2; charge_linkage (partial); dept_charge_owners (partial),2500000,625000,build_ml,309600,205086,958704,2288477,2,4.08
UC-03-04,Charge Capture,CONDITIONAL,yes,governance 1->2,1000000,250000,build_ml,115200,34624,252917,958939,2,6.71
UC-03-05,Charge Capture,CONDITIONAL,yes,workflow 2->3; governance 1->2,219910,54978,build_rules,123200,30914,222003,187481,8,0.93
UC-03-07,Charge Capture,CONDITIONAL,,governance 1->2; supply_chain_feed (partial),800000,200000,build_ml,184800,56936,389454,736627,3,3.01
UC-03-08,Charge Capture,CONDITIONAL,,governance 1->2; legal 1->2; contract_engine_loaded (partial),0,0,build_rules,123200,30800,221662,-32316,,-1.0
UC-04-01,CDI,CONDITIONAL,,data 3->4; governance 1->2; notes_access (partial),1000000,250000,api,154000,53806,345157,940489,2,4.65
UC-04-02,CDI,CONDITIONAL,,governance 1->2; notes_access (partial),576800,144200,api,154000,53806,345157,517289,4,2.26
UC-04-05,CDI,CONDITIONAL,yes,governance 1->2,46080,11520,build_rules,76800,26241,161584,18324,51,-0.44
