uc_id,domain,disposition,a0_a1_start,gaps,value_yr_base,value_y1,option,build,run_yr,tco_3yr_alloc,net_yr,payback_months,roi_3yr
UC-01-02,Patient Access,CONDITIONAL,yes,governance 1->2,207295,51824,build_ml,184800,342687,1246707,-141829,,-0.68
UC-01-04,Patient Access,CONDITIONAL,yes,workflow 2->3; governance 1->2; portal_automation_permitted (partial),1609678,402420,build_rules,143200,458200,1523861,1149963,2,1.06
UC-01-06,Patient Access,CONDITIONAL,yes,governance 1->2,742652,185663,build_rules,76800,32075,179086,709061,1,7.09
UC-01-09,Patient Access,CONDITIONAL,yes,workflow 2->3; governance 1->2; portal_automation_permitted (partial); fabric (partial),417600,104400,build_rpa,138600,123262,597392,278742,8,0.36
UC-01-11,Patient Access,CONDITIONAL,,governance 1->2; provider_adoption (partial); policy_library (partial),495101,123775,api,154000,514394,1769779,-33570,,-0.45
UC-01-14,Patient Access,CONDITIONAL,yes,workflow 2->3; governance 1->2; legal 2->3; outreach_consent (partial); escalation_staffed (partial),1315200,328800,api,283000,686892,2370181,623191,6,0.08
UC-01-15,Patient Access,CONDITIONAL,yes,governance 1->2,720000,180000,build_rules,76800,62118,269214,656367,1,4.22
UC-01-17,Patient Access,CONDITIONAL,,data 3->4; governance 1->2; legal 2->3; outreach_consent (partial),144000,36000,build_ml,115200,120734,511249,16829,93,-0.45
UC-02-02,Utilization Review,CONDITIONAL,,governance 1->2; notes_access (partial); criteria_license (partial),682560,170640,api,258000,345759,1325016,331096,10,0.0
UC-02-04,Utilization Review,CONDITIONAL,yes,workflow 2->3; governance 1->2,495101,123775,build_rules,76800,39318,200814,454268,2,3.81
UC-02-05,Utilization Review,CONDITIONAL,,governance 1->2; avoidable_day_taxonomy (partial); notes_access (partial),100224,25056,api,96000,321459,1090116,-226940,,-0.82
UC-03-01,Charge Capture,CONDITIONAL,,data 3->4; governance 1->2; dept_charge_owners (partial),6000000,1500000,build_ml,309600,362174,1429969,5631389,1,7.18
UC-03-04,Charge Capture,CONDITIONAL,yes,governance 1->2,2400000,600000,build_ml,115200,34624,252917,2358939,1,17.5
UC-03-05,Charge Capture,CONDITIONAL,yes,workflow 2->3; governance 1->2; reference_license (partial),475726,118931,build_rules,123200,30914,222003,443297,3,3.18
UC-03-07,Charge Capture,CONDITIONAL,,governance 1->2; supply_chain_feed (partial),1920000,480000,build_ml,184800,59031,395738,1854532,1,8.46
UC-03-08,Charge Capture,CONDITIONAL,,governance 1->2; contract_engine_loaded (partial),0,0,build_rules,123200,30800,221662,-32316,,-1.0
UC-04-01,CDI,CONDITIONAL,,data 3->4; governance 1->2; notes_access (partial),2400000,600000,api,154000,96794,474122,2297501,1,8.87
UC-04-02,CDI,CONDITIONAL,,governance 1->2; notes_access (partial),1367040,341760,api,154000,96794,474122,1264541,2,4.62
UC-04-05,CDI,CONDITIONAL,yes,governance 1->2,100224,25056,build_rules,76800,36099,191157,62610,15,0.02
UC-05-03,Coding,CONDITIONAL,yes,governance 1->2,576000,144000,api,96000,229341,813763,340954,4,0.38
UC-05-04,Coding,CONDITIONAL,yes,governance 1->2,297484,74371,build_rules,123200,42066,255458,253903,6,1.27
UC-05-05,Coding,CONDITIONAL,yes,workflow 2->3; governance 1->2,250560,62640,build_ml,184800,243946,950484,177,13522,-0.49
UC-05-06,Coding,CONDITIONAL,,data 3->4; governance 1->2,150336,37584,build_ml,115200,53411,309278,90488,17,-0.05
UC-06-03,Claims,CONDITIONAL,,data 3->4; workflow 2->3; governance 1->2; denial_labels (partial),990202,247551,build_ml,184800,91346,492684,892419,3,2.92
UC-06-04,Claims,CONDITIONAL,yes,workflow 2->3; governance 1->2,613457,153364,build_rules,143200,227800,832661,384142,5,0.44
UC-06-06,Claims,CONDITIONAL,yes,workflow 2->3; governance 1->2; filing_matrix (partial),742652,185663,build_rules,123200,138094,543543,603042,2,1.66
UC-06-07,Claims,CONDITIONAL,,data 3->4; governance 1->2; attachment_channels (partial),652909,163227,build_ml,204800,128005,622660,518467,5,1.04
UC-07-02,Payments,CONDITIONAL,,data 3->4; governance 1->2; denial_taxonomy (partial),181440,45360,api,154000,72229,400428,103505,19,-0.12
UC-07-04,Payments,CONDITIONAL,yes,governance 1->2,200448,50112,build_ml,184800,168544,724277,25467,94,-0.46
UC-07-05,Payments,CONDITIONAL,,workflow 2->3; governance 1->2; contract_engine_loaded (partial),4800000,1200000,build_rules,123200,143459,559637,4655026,0,15.73
UC-07-06,Payments,CONDITIONAL,,governance 1->2; takeback_linkage (partial); recoupment_law_matrix (partial),960000,240000,build_rules,123200,33504,229772,924981,2,7.15
UC-08-04,Denials & Appeals,CONDITIONAL,yes,workflow 2->3; governance 1->2,235284,58821,build_ml,115200,106372,468162,122475,13,-0.02
UC-08-05,Denials & Appeals,CONDITIONAL,,data 3->4; workflow 2->3; governance 1->2; routing_authority (partial); denial_labels (partial),2475506,618876,api,154000,168418,688992,2301383,1,6.01
UC-08-06,Denials & Appeals,CONDITIONAL,,governance 1->2; appeal_outcomes (partial),302400,75600,build_rules,143200,40600,271061,260285,7,1.18
UC-09-02,AR Management,CONDITIONAL,yes,workflow 2->3; governance 1->2; portal_automation_permitted (partial); fabric (partial),1658860,414715,build_rpa,252200,322109,1307533,1321155,3,1.47
UC-09-03,AR Management,CONDITIONAL,,workflow 2->3; governance 1->2; contract_engine_loaded (partial),3840000,960000,build_ml,184800,69802,428053,3763760,1,16.49
UC-09-06,AR Management,CONDITIONAL,,data 3->4; workflow 2->3; governance 1->2; placement_gates (partial),535392,133848,build_ml,184800,91346,492684,437609,5,1.12
UC-10-07,Patient Financial Svcs,CONDITIONAL,yes,governance 1->2; agency_data_rights (partial),1152000,288000,api,154000,121359,547816,1024936,2,3.1
UC-10-08,Patient Financial Svcs,CONDITIONAL,yes,governance 1->2,96000,24000,build_rules,76800,30466,174258,64019,15,0.07
UC-11-02,Contracting,CONDITIONAL,,governance 1->2; contract_repository (partial),960000,240000,api,96000,14818,170192,939477,1,10.0
UC-11-04,Contracting,CONDITIONAL,,workflow 2->3; governance 1->2; provider_master (partial); portal_automation_permitted (partial),1174208,293552,vendor,77400,87971,442321,1070640,1,4.18
UC-11-05,Contracting,CONDITIONAL,,data 3->4; governance 1->2,2160000,540000,build_ml,184800,55448,384989,2098115,1,9.94
UC-11-06,Contracting,CONDITIONAL,,data 3->4; governance 1->2; vbc_data_sharing (partial),1656000,414000,build_ml,184800,55444,384978,1594119,2,7.39
UC-12-02,Compliance,CONDITIONAL,yes,integration 3->4; workflow 2->3; governance 1->2; fabric (partial),104400,26100,api,258000,67989,568708,17705,209,-0.64
UC-12-03,Compliance,CONDITIONAL,,governance 1->2; peer_benchmarks (partial); compliance_charter (partial),0,0,build_ml,184800,55542,385271,-61979,,-1.0
UC-12-06,Compliance,CONDITIONAL,,governance 1->2; privilege_protocol (partial); audit_outcomes (partial),0,0,build_ml,115200,34919,253803,-41356,,-1.0
UC-13-01,Analytics,CONDITIONAL,yes,governance 1->2; kpi_dictionary (partial),208800,52200,api,96000,16963,176630,186131,7,1.31
UC-13-03,Analytics,CONDITIONAL,,data 3->4; governance 1->2,62640,15660,build_ml,115200,34624,252917,21579,72,-0.52
UC-13-04,Analytics,CONDITIONAL,yes,integration 3->4; workflow 2->3; governance 1->2; gov_body (partial); fabric (partial),62640,15660,build_ml,184800,55504,385157,699,3421,-0.68
UC-14-01,Master Data & Tech,CONDITIONAL,,data 3->4; workflow 2->3; governance 1->2; denial_labels (partial); masterdata_governance (partial),495101,123775,build_ml,115200,45332,285042,443332,4,2.39
UC-14-02,Master Data & Tech,CONDITIONAL,,governance 1->2; system_copy_extracts (partial),247551,61888,build_rules,76800,19219,140518,226816,4,2.44
UC-14-03,Master Data & Tech,CONDITIONAL,,workflow 2->3; governance 1->2; edi_telemetry (partial),574005,143501,build_ml,115200,34624,252917,532944,3,3.43
UC-14-04,Master Data & Tech,CONDITIONAL,yes,integration 3->4; workflow 2->3; governance 1->2; fabric (partial); handback_queues (partial),62640,15660,build_ml,184800,55504,462157,-12301,,-0.74
UC-14-05,Master Data & Tech,CONDITIONAL,yes,governance 1->2,104400,26100,build_ml,115200,214089,791314,-116127,,-0.74
UC-14-06,Master Data & Tech,CONDITIONAL,yes,integration 3->4; workflow 2->3; governance 1->2; fabric (partial),519452,129863,build_rules,123200,30804,298672,474133,4,2.39
UC-14-07,Master Data & Tech,CONDITIONAL,yes,governance 1->2; agency_data_rights (partial),720000,180000,build_ml,115200,45332,285042,668231,2,3.93
UC-01-01,Patient Access,DEFER,yes,governance 1->3; golden_sets (partial),414591,62189,api,258000,413288,1640104,-26903,,-0.61
