month,expected_net,revenue,cash,ar_days,bill_lag_days,idr,denial_writeoff,bad_debt,underpayment_leak,charge_leak,labor_cost,ot_cost,total_cost,one_time_cost,scenario_run_cost,pxi,cxi,fte_total,total_touches,auto_touches,denied_claims,appealed_claims
1,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13436250.0000,0.0000,22790416.6667,0.0000,0.0000,56.8121,69.6850,2510.0000,3092038.0740,554077.0254,108780.0000,10475.5140
2,838080000.0000,838080000.0000,838080000.0000,49.7610,7.0000,0.1150,19748098.0800,16593984.0000,3771360.0000,6285600.0000,13507630.9524,0.0000,24766559.5238,1900000.0000,4761.9048,58.2400,68.2199,2524.1429,3075188.3597,543614.9968,108780.0000,10475.5140
3,838080000.0000,838425708.0000,839829935.3115,49.6895,7.0000,0.1150,19748098.0800,16248276.0000,3771360.0000,6285600.0000,13529250.0000,0.0000,23292940.4762,400000.0000,9523.8095,59.6635,66.5064,2528.2857,3058338.6454,533152.9683,108780.0000,10475.5140
4,838080000.0000,838867178.3731,843003420.4523,49.5132,7.0000,0.1131,19652335.7069,15902568.0000,3771360.0000,6285600.0000,13550869.0476,0.0000,24430988.0952,1500000.0000,25952.3810,61.0828,65.2577,2532.4286,3038567.8836,530051.1785,106978.6032,10436.7013
5,838080000.0000,839544777.7862,844829813.4576,49.2816,7.0000,0.1102,19320444.2938,15556860.0000,3771360.0000,6285600.0000,13572488.0952,0.0000,26795424.6032,3800000.0000,68769.8413,62.9320,64.3853,2536.5714,3011346.9462,547660.4729,104225.3814,10264.6331
6,838080000.0000,840725155.3594,851025310.3697,48.8395,6.8000,0.1071,18485774.7206,15211152.0000,3771360.0000,6285600.0000,13583440.4762,0.0000,27885305.5556,4800000.0000,147698.4127,64.7775,65.4810,2538.7143,2983817.7988,598188.9968,101290.8596,10074.4349
7,838080000.0000,841906014.8285,856300307.9871,48.2506,6.4833,0.1034,17650623.2515,14865444.0000,3771360.0000,6285600.0000,13594392.8571,9569.3476,24997255.8556,1800000.0000,239126.9841,66.6195,67.7783,2540.8571,2955455.9115,663044.0091,97837.8198,9881.1256
8,838080000.0000,843064385.8176,857539584.2183,47.6616,6.1667,0.0998,16837960.2624,14519736.0000,3771360.0000,6285600.0000,13605345.2381,27009.4798,24225410.2734,900000.0000,338888.8889,68.4582,70.1491,2543.0000,2908553.2243,728439.9084,94384.7800,9687.8163
9,838080000.0000,843758797.9536,854111081.4900,47.2489,5.8500,0.0980,16143548.1264,14519736.0000,3771360.0000,6285600.0000,13555583.3333,27009.4798,24568356.7020,1200000.0000,431597.2222,69.7334,72.5444,2533.0000,2881421.2989,806696.1590,92733.1370,9533.3197
10,838080000.0000,844554515.3376,855354710.8437,46.8151,5.5333,0.0959,15347830.7424,14519736.0000,3771360.0000,6285600.0000,13523250.0000,27009.4798,23730583.5538,300000.0000,526157.4074,71.0086,74.9874,2527.0000,2853647.0880,883827.9565,90718.8940,9316.6976
11,838080000.0000,845152227.0096,854740208.8589,46.4367,5.2167,0.0948,14750119.0704,14519736.0000,3771360.0000,6285600.0000,13454319.4444,27009.4798,23429824.2946,0.0000,594328.7037,71.8499,77.7036,2513.9167,2833323.0526,942476.6174,89656.4760,9233.3310
12,838080000.0000,845319659.0976,855573551.5262,46.0582,4.9000,0.0937,14582686.9824,14519736.0000,3771360.0000,6285600.0000,13347159.7222,27009.4798,23376946.9798,0.0000,648611.1111,72.6912,81.7521,2493.9583,2812999.0172,994321.3613,88594.0580,9149.9644
13,838080000.0000,845464120.8096,851678870.3021,45.8266,4.7000,0.0931,14438225.2704,14519736.0000,3771360.0000,6285600.0000,13217611.1111,27009.4798,23280847.4427,0.0000,682060.1852,73.5325,82.1580,2469.3750,2812048.5218,1027051.5966,88050.1580,9069.7090
14,838080000.0000,845608582.5216,851825530.4993,45.5950,4.5000,0.0925,14293763.5584,14519736.0000,3771360.0000,6285600.0000,13057312.5000,27009.4798,23153997.9057,0.0000,715509.2593,74.3738,84.2294,2440.2917,2811098.0263,1059781.8319,87506.2580,8989.4535
15,838080000.0000,845728949.4336,846134424.3683,45.5739,4.5000,0.0921,14173396.6464,14519736.0000,3771360.0000,6285600.0000,12879513.8889,27009.4798,22987426.1464,0.0000,726736.1111,75.2151,84.3056,2407.4583,2810455.7408,1065548.9602,87143.6580,8927.3280
16,838080000.0000,845849316.3456,846254958.0172,45.5528,4.5000,0.0917,14053029.7344,14519736.0000,3771360.0000,6285600.0000,12718937.5000,27009.4798,22838076.6094,0.0000,737962.9630,76.0564,86.0484,2377.9583,2809813.4554,1071316.0884,86781.0580,8865.2026
17,838080000.0000,845969683.2576,846375491.6661,45.5317,4.5000,0.0914,13932662.8224,14519736.0000,3771360.0000,6285600.0000,12558361.1111,27009.4798,22679352.0724,0.0000,739814.8148,76.0564,86.0733,2348.4583,2809171.1699,1071049.5267,86418.4580,8803.0771
18,838080000.0000,846090050.1696,846496025.3150,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,12397784.7222,27009.4798,22520627.5353,0.0000,741666.6667,76.0564,87.7648,2318.9583,2808528.8844,1070782.9649,86055.8580,8740.9516
19,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,12258041.6667,27009.4798,22380884.4798,0.0000,741666.6667,76.0564,87.7648,2293.6250,2808528.8844,1070782.9649,86055.8580,8740.9516
20,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,12156527.7778,27009.4798,22279370.5909,0.0000,741666.6667,76.0564,87.7648,2275.1667,2808528.8844,1070782.9649,86055.8580,8740.9516
21,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,12071680.5556,27009.4798,22194523.3687,0.0000,741666.6667,76.0564,87.7648,2259.8333,2808528.8844,1070782.9649,86055.8580,8740.9516
22,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11986833.3333,27009.4798,22109676.1464,0.0000,741666.6667,76.0564,87.7648,2244.5000,2808528.8844,1070782.9649,86055.8580,8740.9516
23,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
24,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
25,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
26,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
27,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
28,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
29,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
30,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
31,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
32,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
33,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
34,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
35,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
36,838080000.0000,846090050.1696,846090050.1696,45.5107,4.5000,0.0910,13812295.9104,14519736.0000,3771360.0000,6285600.0000,11956083.3333,27009.4798,22078926.1464,0.0000,741666.6667,76.0564,87.7648,2240.0000,2808528.8844,1070782.9649,86055.8580,8740.9516
